,Time,Treat
495,3,placebo
496,3,placebo
497,3,placebo
498,3,placebo
499,3,placebo
500,3,placebo
501,3,placebo
502,3,placebo
503,3,placebo
504,3,placebo
506,3,placebo
507,3,placebo
508,3,placebo
509,3,placebo
510,3,placebo
511,3,placebo
512,3,placebo
513,3,placebo
514,3,placebo
515,3,placebo
516,3,placebo
517,3,placebo
518,3,placebo
519,3,placebo
520,3,placebo
521,3,placebo
522,3,placebo
524,3,placebo
525,3,placebo
526,3,placebo
527,3,placebo
529,3,placebo
530,3,placebo
531,3,placebo
532,3,placebo
533,3,placebo
534,3,placebo
535,3,placebo
536,3,placebo
537,3,placebo
538,3,placebo
539,3,placebo
540,3,placebo
541,3,placebo
542,3,placebo
543,3,placebo
544,3,placebo
545,3,placebo
546,3,placebo
547,3,placebo
548,3,placebo
549,3,placebo
550,3,placebo
551,3,placebo
552,3,placebo
553,3,placebo
554,3,placebo
555,3,placebo
556,3,placebo
557,3,placebo
558,3,placebo
559,3,placebo
560,3,placebo
561,3,placebo
562,3,placebo
563,3,placebo
564,3,placebo
565,3,placebo
566,3,placebo
567,3,placebo
568,3,placebo
569,3,placebo
570,3,placebo
571,3,placebo
572,3,placebo
573,3,placebo
574,3,placebo
575,3,placebo
576,3,placebo
578,3,placebo
579,3,placebo
580,3,placebo
581,3,placebo
582,3,placebo
583,3,placebo
584,3,placebo
585,3,placebo
586,3,placebo
587,3,placebo
588,3,placebo
589,3,placebo
590,3,placebo
591,3,placebo
592,3,placebo
593,3,placebo
594,3,placebo
595,3,placebo
596,3,placebo
597,3,placebo
598,3,placebo
599,3,placebo
600,3,placebo
601,3,placebo
602,3,placebo
603,3,placebo
604,3,placebo
605,3,placebo
606,3,placebo
607,3,placebo
608,3,placebo
609,3,placebo
610,3,placebo
611,3,placebo
612,3,placebo
613,3,placebo
614,3,placebo
615,3,placebo
616,3,placebo
617,3,placebo
618,3,placebo
619,3,placebo
620,3,placebo
621,3,placebo
622,3,placebo
623,3,placebo
624,3,placebo
625,3,placebo
626,3,placebo
627,3,placebo
628,3,placebo
629,3,placebo
630,3,placebo
631,3,placebo
632,3,placebo
633,3,placebo
634,3,placebo
635,3,placebo
636,3,placebo
637,3,placebo
638,3,placebo
639,3,placebo
640,3,placebo
641,3,placebo
642,3,placebo
643,3,placebo
644,3,placebo
645,3,placebo
646,3,placebo
647,3,placebo
648,3,placebo
649,3,placebo
650,3,placebo
651,3,placebo
652,3,placebo
